logAge   ,Mass,Gmag,BPmag,RPmag
7.60000,7.221000,-2.7080,-2.8490,-2.5250
7.60000,7.332000,-2.8510,-2.9890,-2.6720
7.60000,7.435000,-2.9950,-3.1300,-2.8200
7.60000,7.515000,-3.1190,-3.2510,-2.9480
7.60000,7.601000,-3.2540,-3.3830,-3.0880
7.60000,7.617000,-3.2780,-3.4070,-3.1120
7.60000,7.656000,-3.2750,-3.4100,-3.1020
7.60000,7.666000,-3.2500,-3.3890,-3.0700
7.60000,7.670000,-3.2230,-3.3660,-3.0370
7.60000,7.672000,-3.2040,-3.3520,-3.0130
7.60000,7.673000,-3.1940,-3.3450,-2.9990
7.60000,7.674000,-3.1900,-3.3430,-2.9920
7.60000,7.674000,-3.1770,-3.3280,-2.9820
7.60000,7.674000,-3.1760,-3.3220,-2.9870
7.60000,7.674000,-3.2030,-3.3450,-3.0190
7.60000,7.675000,-3.2660,-3.4030,-3.0890
7.60000,7.675000,-3.3450,-3.4780,-3.1750
7.60000,7.675000,-3.4330,-3.5600,-3.2690
7.60000,7.676000,-3.5220,-3.6440,-3.3650
7.60000,7.676000,-3.6080,-3.7250,-3.4590
7.60000,7.676000,-3.6910,-3.8030,-3.5480
7.60000,7.676000,-3.7700,-3.8760,-3.6340
7.60000,7.677000,-3.8450,-3.9460,-3.7160
7.60000,7.677000,-3.9170,-4.0130,-3.7950
7.60000,7.677000,-3.9860,-4.0760,-3.8720
